job_id,job_type,arrival_time,start_time,end_time,due_date,tardiness,machine
1,H,0.0,0.0,705.8514687839806,763.9426798457883,0.0,B
2,H,124.0,124.0,602.2760038113354,826.5010755222667,0.0,B
3,H,293.0,602.2760038113354,1104.241238074768,1020.5029318369119,83.73830623785614,B
4,H,518.0,705.8514687839806,1166.0310254340752,1240.3210738148823,0.0,B
5,N,810.0,810.0,1281.1781005423945,1676.4847759863694,0.0,A
6,H,996.0,1104.241238074768,1422.3585851152461,1763.6699487422911,0.0,B
7,N,1171.0,1171.0,1781.6004676983391,2054.9241115829427,0.0,A
8,N,1408.0,1408.0,1908.8864757041567,2201.7371492544944,0.0,A
9,N,1527.0,1527.0,2007.639739354952,2358.25524380475,0.0,A
10,N,1720.0,1781.6004676983391,2289.0560304688406,2507.337288577064,0.0,A
11,H,1945.0,1945.0,2311.6789769009456,2666.8637974803605,0.0,B
12,H,2080.0,2080.0,2640.7957541836213,2830.535528810336,0.0,B
13,H,2260.0,2311.6789769009456,2719.3326454203557,2962.6535969683864,0.0,B
14,N,2474.0,2474.0,2970.5882511137443,3280.2698168769048,0.0,A
15,H,2597.0,2640.7957541836213,3351.454786604702,3361.9884437779524,0.0,B
16,N,2796.0,2796.0,3322.9556296428545,3641.03344582756,0.0,A
17,H,3086.0,3086.0,3842.7247291435,3808.0440622040696,34.680666939430466,B
18,H,3313.0,3351.454786604702,3994.7439479008444,4071.926568387591,0.0,B
20,N,3580.0,3580.0,3943.618945769897,4364.727861083943,0.0,A
21,N,3836.0,3836.0,4391.290777165648,4710.251756205274,0.0,A
19,H,3455.0,3842.7247291435,4356.13483266739,4235.943045667783,120.19178699960685,B
22,N,3968.0,3968.0,4618.940777964374,4830.191612238681,0.0,A
23,H,4164.0,4164.0,4706.210038485695,4898.025051651799,0.0,B
24,N,4438.0,4438.0,4991.629165986685,5239.413703978919,0.0,A
25,N,4582.0,4582.0,5211.788274219171,5473.20786408716,0.0,A
26,N,4748.0,4748.0,5406.487130013934,5569.698589052614,0.0,A
27,N,4891.0,4991.629165986685,5628.758637398985,5685.387534458577,0.0,A
28,N,5004.0,5211.788274219171,5847.825801523893,5798.832234205348,48.99356731854459,A
29,H,5244.0,5244.0,5792.989233640255,6028.749436634746,0.0,B
30,H,5484.0,5484.0,5847.796360338267,6244.372603136689,0.0,B
31,N,5704.0,5704.0,6425.229002241516,6578.398366606731,0.0,A
32,H,5795.0,5795.0,6169.5185071593905,6567.973178669382,0.0,B
33,H,6113.0,6113.0,6617.675395389241,6866.6228091454705,0.0,B
34,H,6294.0,6294.0,6826.634689727456,7091.311576397937,0.0,B
35,N,6325.0,6325.0,6817.967981480609,7151.395850247335,0.0,A
36,N,6516.0,6516.0,7132.30506756144,7361.828550702601,0.0,A
37,N,6728.0,6728.0,7429.456451258771,7604.893322396336,0.0,A
38,H,6868.0,6868.0,7478.48109444566,7629.851975236425,0.0,B
39,H,7103.0,7103.0,7680.365318197877,7889.170690031077,0.0,B
40,H,7324.0,7478.48109444566,7882.478055025672,8081.735214525676,0.0,B
41,N,7603.0,7603.0,8097.7270600545235,8465.912045656072,0.0,A
42,N,7905.0,7905.0,8487.606277171984,8694.132330969434,0.0,A
43,N,8047.0,8047.0,8545.787321535372,8856.524606872974,0.0,A
44,H,8265.0,8265.0,8685.849328845292,8993.938796360211,0.0,B
45,N,8424.0,8424.0,8945.626317456545,9216.936701415447,0.0,A
46,H,8668.0,8668.0,9093.941049447678,9391.279088636104,0.0,B
47,N,8880.0,8880.0,9414.786474801724,9675.31216009389,0.0,A
48,H,9052.0,9052.0,9636.176998492729,9779.79736031101,0.0,B
49,H,9119.0,9119.0,9555.18139972814,9882.56844442644,0.0,B
51,N,9466.0,9466.0,10126.88816687878,10291.46026831709,0.0,A
50,H,9270.0,9555.18139972814,10192.958118021945,10006.483217897008,186.47490012493654,B
52,N,9624.0,9624.0,10326.888125090003,10431.464787446406,0.0,A
53,N,9767.0,9767.0,10304.260521003296,10580.9015160695,0.0,A
54,N,9915.0,10126.88816687878,10734.144092737253,10803.9053138238,0.0,A
55,N,10153.0,10304.260521003296,10788.938699348362,11009.579963147618,0.0,A
56,N,10254.0,10326.888125090003,10960.334436416924,11106.222672634703,0.0,A
57,N,10501.0,10734.144092737253,11196.158669519757,11304.167528598187,0.0,A
58,N,10671.0,10788.938699348362,11426.404899781826,11536.66220137044,0.0,A
59,H,10909.0,10909.0,11275.024933209817,11625.340249376193,0.0,B
60,H,11034.0,11034.0,11468.85750099652,11771.945544175765,0.0,B
61,N,11275.0,11275.0,11732.11897890291,12169.826615271299,0.0,A
62,H,11520.0,11520.0,11873.725369212965,12283.999975985409,0.0,B
63,N,11637.0,11637.0,12336.110396464159,12483.37837130276,0.0,A
64,N,11762.0,11762.0,12262.782932972163,12622.676796110865,0.0,A
65,H,11925.0,11925.0,12364.57878563602,12709.28519201898,0.0,B
66,N,12201.0,12201.0,12798.772087364088,13071.91199009318,0.0,A
67,H,12423.0,12423.0,12915.10170513799,13145.90480719641,0.0,B
68,H,12571.0,12571.0,13268.282122649587,13274.210024390404,0.0,B
69,N,12763.0,12763.0,13337.14573771229,13582.330741382617,0.0,A
70,N,12995.0,12995.0,13457.405516449664,13808.986978109278,0.0,A
71,N,13161.0,13161.0,13693.97442591203,13968.630078481669,0.0,A
72,H,13322.0,13322.0,13962.237277691152,14116.290971433506,0.0,B
73,N,13551.0,13551.0,14272.673675801627,14433.15317416494,0.0,A
74,H,13582.0,13582.0,14325.635730053153,14313.467788079848,12.16794197330455,B
76,N,13897.0,13897.0,14581.13276062741,14725.310772918794,0.0,A
75,H,13746.0,13962.237277691152,14337.75102409241,14511.543866529488,0.0,B
78,N,14120.0,14120.0,14700.710515064366,14955.39140748979,0.0,A
79,N,14273.0,14273.0,14864.787684114384,15086.666578647782,0.0,A
77,H,13945.0,14325.635730053153,14684.624000935097,14736.454758974054,0.0,B
